timestamp,movie,ciphersuite,key_size,integrity,frames,stream_size,stream_time
Tue Nov 01 22:55:55 WET 2022,cars,RC6/GCM/NoPadding,32,SHA-1,30516,41286.836000,130580,x
Tue Nov 01 23:13:09 WET 2022,cars,AES/CFB/PKCS5Padding,32,SHA-1,30516,41012.192000,130577,x
Tue Nov 01 23:25:14 WET 2022,cars,AES/CFB/PKCS7Padding,64,SHA-1,30516,41012.192000,130574,x
Tue Nov 01 23:27:33 WET 2022,cars,BLOWFISH/CFB/PKCS7Padding,64,null,30516,40279.808000,130577,x
Tue Nov 01 23:32:07 WET 2022,cars,BLOWFISH/CFB/PKCS5Padding,64,SHA256,30516,41256.320000,130576,x
Tue Nov 01 23:35:18 WET 2022,cars,RC6/GCM/NoPadding,32,SHA256,30516,41653.028000,130581,x
Tue Nov 01 23:42:31 WET 2022,cars,AES/CTR/PKCS5Padding,48,SHA256,30516,41500.448000,130575,x
Tue Nov 01 23:45:30 WET 2022,cars,RC6/CFB/NoPadding,32,null,30516,40188.260000,130576,x
Tue Nov 01 23:47:48 WET 2022,cars,AES/ECB/PKCS5Padding,64,null,30516,40523.936000,130576,x
Tue Nov 01 23:50:08 WET 2022,cars,AES/OFB/NoPadding,32,SHA-1,30516,40798.580000,130576,x
Tue Nov 01 23:52:46 WET 2022,cars,AES/OFB/PKCS7Padding,32,null,30516,40523.936000,130577,x
Tue Nov 01 23:56:40 WET 2022,cars,AES/CFB/NoPadding,64,null,30516,40188.260000,130575,x
Wed Nov 02 00:05:10 WET 2022,cars,BLOWFISH/OFB/PKCS5Padding,16,null,30516,40279.808000,130574,x
